종목코드,종목명,시장,E_GRADE,S_GRADE,G_GRADE,ESG_GRADE
019680,대교,KOSPI,,,,
008350,남선알미늄,KOSPI,,,,
317400,자이에스앤디,KOSPI,,,,
016450,한세예스24홀딩스,KOSPI,,,,
007160,사조산업,KOSPI,,,,
096760,JW홀딩스,KOSPI,,,,
013580,계룡건설,KOSPI,,,,
079430,현대리바트,KOSPI,,,,
004980,성신양회,KOSPI,,,,
003960,사조대림,KOSPI,,,,
003200,일신방직,KOSPI,,,,
229640,LS전선아시아,KOSPI,,,,
005680,삼영전자,KOSPI,,,,
006840,AK홀딩스,KOSPI,,,,
016610,DB금융투자,KOSPI,,,,
008060,대덕,KOSPI,,,,
194370,제이에스코퍼레이션,KOSPI,,,,
002460,화성산업,KOSPI,,,,
023450,동남합성,KOSPI,,,,
003120,일성신약,KOSPI,,,,
100250,진양홀딩스,KOSPI,,,,
102260,동성케미컬,KOSPI,,,,
011760,현대코퍼레이션,KOSPI,,,,
018470,조일알미늄,KOSPI,,,,
058430,포스코강판,KOSPI,,,,
008700,아남전자,KOSPI,,,,
070960,용평리조트,KOSPI,,,,
002620,제일파마홀딩스,KOSPI,,,,
007210,벽산,KOSPI,,,,
006110,삼아알미늄,KOSPI,,,,
015890,태경산업,KOSPI,,,,
004710,한솔테크닉스,KOSPI,,,,
010820,퍼스텍,KOSPI,,,,
248170,샘표식품,KOSPI,,,,
006890,태경케미컬,KOSPI,,,,
214390,경보제약,KOSPI,,,,
009270,신원,KOSPI,,,,
063160,종근당바이오,KOSPI,,,,
134380,미원화학,KOSPI,,,,
003830,대한화섬,KOSPI,,,,
102280,쌍방울,KOSPI,,,,
007280,한국특강,KOSPI,,,,
003460,유화증권,KOSPI,,,,
009070,KCTC,KOSPI,,,,
008970,동양철관,KOSPI,,,,
004150,한솔홀딩스,KOSPI,,,,
071970,STX중공업,KOSPI,,,,
003480,한진중공업홀딩스,KOSPI,,,,
003610,방림,KOSPI,,,,
069460,대호에이엘,KOSPI,,,,
089470,HDC현대EP,KOSPI,,,,
009470,삼화전기,KOSPI,,,,
032560,황금에스티,KOSPI,,,,
002410,범양건영,KOSPI,,,,
009190,대양금속,KOSPI,,,,
034590,인천도시가스,KOSPI,,,,
017180,명문제약,KOSPI,,,,
000520,삼일제약,KOSPI,,,,
058730,다스코,KOSPI,,,,
009200,무림페이퍼,KOSPI,,,,
264900,크라운제과,KOSPI,,,,
003010,혜인,KOSPI,,,,
000220,유유제약,KOSPI,,,,
308170,센트랄모텍,KOSPI,,,,
001550,조비,KOSPI,,,,
214420,토니모리,KOSPI,,,,
092440,기신정기,KOSPI,,,,
000890,보해양조,KOSPI,,,,
010960,삼호개발,KOSPI,,,,
035000,지투알,KOSPI,,,,
003780,진양산업,KOSPI,,,,
078000,텔코웨어,KOSPI,,,,
005320,국동,KOSPI,,,,
044820,코스맥스비티아이,KOSPI,,,,
015590,큐로,KOSPI,,,,
001080,만호제강,KOSPI,,,,
075180,새론오토모티브,KOSPI,,,,
001560,제일연마,KOSPI,,,,
004770,써니전자,KOSPI,,,,
014710,사조씨푸드,KOSPI,,,,
004270,남성,KOSPI,,,,
005750,대림B&Co,KOSPI,,,,
090370,메타랩스,KOSPI,,,,
024900,덕양산업,KOSPI,,,,
023810,인팩,KOSPI,,,,
100220,비상교육,KOSPI,,,,
119650,KC코트렐,KOSPI,,,,
085310,엔케이,KOSPI,,,,
003080,성보화학,KOSPI,,,,
109070,컨버즈,KOSPI,,,,
014440,영보화학,KOSPI,,,,
041650,상신브레이크,KOSPI,,,,
000850,화천기공,KOSPI,,,,
008110,대동전자,KOSPI,,,,
000590,CS홀딩스,KOSPI,,,,
014130,한익스프레스,KOSPI,,,,
023150,MH에탄올,KOSPI,,,,
008600,윌비스,KOSPI,,,,
012280,영화금속,KOSPI,,,,
005030,부산주공,KOSPI,,,,
007610,선도전기,KOSPI,,,,
002870,신풍제지,KOSPI,,,,
051630,진양화학,KOSPI,,,,
010770,평화홀딩스,KOSPI,,,,
009310,참엔지니어링,KOSPI,,,,
013000,세우글로벌,KOSPI,,,,
025560,미래산업,KOSPI,,,,
069640,한세엠케이,KOSPI,,,,
017370,우신시스템,KOSPI,,,,
084870,TBH글로벌,KOSPI,,,,
072130,유엔젤,KOSPI,,,,
002420,세기상사,KOSPI,,,,
088790,진도,KOSPI,,,,
033250,체시스,KOSPI,,,,
014910,성문전자,KOSPI,,,,
011300,성안,KOSPI,,,,
145210,다이나믹디자인,KOSPI,,,,
019490,하이트론,KOSPI,,,,
091990,셀트리온헬스케어,KOSDAQ,,,,
066970,엘앤에프,KOSDAQ,,,,
028300,에이치엘비,KOSDAQ,,,,
068760,셀트리온제약,KOSDAQ,,,,
196170,알테오젠,KOSDAQ,,,,
056190,에스에프에이,KOSDAQ,,,,
298380,에이비엘바이오,KOSDAQ,,,,
067630,에이치엘비생명과학,KOSDAQ,,,,
007390,네이처셀,KOSDAQ,,,,
214370,케어젠,KOSDAQ,,,,
032500,케이엠더블유,KOSDAQ,,,,
078600,대주전자재료,KOSDAQ,,,,
222080,씨아이에스,KOSDAQ,,,,
214150,클래시스,KOSDAQ,,,,
215000,골프존,KOSDAQ,,,,
090460,비에이치,KOSDAQ,,,,
068240,다원시스,KOSDAQ,,,,
036930,주성엔지니어링,KOSDAQ,,,,
022100,포스코 ICT,KOSDAQ,,,,
084990,헬릭스미스,KOSDAQ,,,,
213420,덕산네오룩스,KOSDAQ,,,,
086900,메디톡스,KOSDAQ,,,,
290650,엘앤씨바이오,KOSDAQ,,,,
084370,유진테크,KOSDAQ,,,,
267980,매일유업,KOSDAQ,,,,
230360,에코마케팅,KOSDAQ,,,,
006730,서부T&D,KOSDAQ,,,,
140410,메지온,KOSDAQ,,,,
060720,KH바텍,KOSDAQ,,,,
041190,우리기술투자,KOSDAQ,,,,
243070,휴온스,KOSDAQ,,,,
115450,에이치엘비테라퓨틱스,KOSDAQ,,,,
102710,이엔에프테크놀로지,KOSDAQ,,,,
036830,솔브레인홀딩스,KOSDAQ,,,,
095610,테스,KOSDAQ,,,,
102940,코오롱생명과학,KOSDAQ,,,,
035600,KG이니시스,KOSDAQ,,,,
078020,이베스트투자증권,KOSDAQ,,,,
058820,CMG제약,KOSDAQ,,,,
136480,하림,KOSDAQ,,,,
027360,아주IB투자,KOSDAQ,,,,
023410,유진기업,KOSDAQ,,,,
046440,KG모빌리언스,KOSDAQ,,,,
035810,이지홀딩스,KOSDAQ,,,,
009520,포스코엠텍,KOSDAQ,,,,
119860,다나와,KOSDAQ,,,,
065660,안트로젠,KOSDAQ,,,,
018290,브이티지엠피,KOSDAQ,,,,
060570,드림어스컴퍼니,KOSDAQ,,,,
090360,로보스타,KOSDAQ,,,,
033170,시그네틱스,KOSDAQ,,,,
060370,KT서브마린,KOSDAQ,,,,
053350,이니텍,KOSDAQ,,,,
273060,와이즈버즈,KOSDAQ,,,,
