종목코드,종목명,시장,E_GRADE,S_GRADE,G_GRADE,ESG_GRADE
016710,대성홀딩스,KOSPI,7,7,7,7
020560,아시아나항공,KOSPI,5,4,9,5
019170,신풍제약,KOSPI,9,8,3,8
000150,두산,KOSPI,3,1,3,2
018670,SK가스,KOSPI,4,3,1,3
017800,현대엘리베이,KOSPI,5,5,2,5
031430,신세계인터내셔날,KOSPI,5,4,2,4
042670,현대두산인프라코어,KOSPI,3,1,2,3
181710,NHN,KOSPI,7,5,1,5
001740,SK네트웍스,KOSPI,4,2,1,3
268280,미원에스씨,KOSPI,9,8,6,8
003690,코리안리,KOSPI,7,6,1,5
003240,태광산업,KOSPI,6,5,4,6
073240,금호타이어,KOSPI,5,4,3,5
000670,영풍,KOSPI,8,9,4,8
079160,CJ CGV,KOSPI,6,4,2,5
145720,덴티움,KOSPI,9,7,4,8
178920,PI첨단소재,KOSPI,4,7,5,6
300720,한일시멘트,KOSPI,5,7,4,6
005250,녹십자홀딩스,KOSPI,6,7,4,6
082640,동양생명,KOSPI,8,5,2,6
214320,이노션,KOSPI,5,5,1,4
002840,미원상사,KOSPI,9,9,6,8
032350,롯데관광개발,KOSPI,9,8,7,8
009420,한올바이오파마,KOSPI,9,7,5,8
014830,유니드,KOSPI,6,7,4,6
013890,지누스,KOSPI,9,9,3,8
005880,대한해운,KOSPI,9,7,5,8
249420,일동제약,KOSPI,5,5,3,5
069260,휴켐스,KOSPI,6,5,5,6
114090,GKL,KOSPI,5,6,3,5
011000,진원생명과학,KOSPI,9,8,5,8
089590,제주항공,KOSPI,7,7,4,7
010050,우리종금,KOSPI,9,6,2,7
023590,다우기술,KOSPI,6,5,3,6
003540,대신증권,KOSPI,6,4,1,4
005440,현대그린푸드,KOSPI,3,3,1,3
020000,한섬,KOSPI,2,2,1,2
039130,하나투어,KOSPI,6,5,3,6
004490,세방전지,KOSPI,6,8,4,7
004690,삼천리,KOSPI,6,5,4,6
241590,화승엔터프라이즈,KOSPI,6,6,2,6
272450,진에어,KOSPI,7,5,1,5
001680,대상,KOSPI,4,3,3,4
192080,더블유게임즈,KOSPI,9,7,3,7
003530,한화투자증권,KOSPI,5,5,2,5
003850,보령제약,KOSPI,6,4,4,5
005690,파미셀,KOSPI,8,8,6,8
007700,F&F홀딩스,KOSPI,4,5,5,5
105630,한세실업,KOSPI,7,8,4,7
006120,SK디스커버리,KOSPI,4,3,1,3
000640,동아쏘시오홀딩스,KOSPI,5,3,1,4
192650,드림텍,KOSPI,8,9,3,7
192820,코스맥스,KOSPI,3,5,5,5
009970,영원무역홀딩스,KOSPI,5,7,2,6
064960,SNT모티브,KOSPI,7,8,5,7
000070,삼양홀딩스,KOSPI,4,5,7,5
057050,현대홈쇼핑,KOSPI,2,2,1,2
003000,부광약품,KOSPI,9,9,3,9
003030,세아제강지주,KOSPI,5,6,6,6
210980,SK디앤디,KOSPI,4,3,2,4
034310,NICE,KOSPI,6,5,3,5
097520,엠씨넥스,KOSPI,7,8,7,7
007340,디티알오토모티브,KOSPI,6,9,4,7
001430,세아베스틸,KOSPI,6,7,4,6
085620,미래에셋생명,KOSPI,7,2,2,5
003470,유안타증권,KOSPI,9,9,5,8
005090,SGC에너지,KOSPI,4,5,5,5
001060,JW중외제약,KOSPI,7,7,3,7
003280,흥아해운,KOSPI,9,8,9,9
170900,동아에스티,KOSPI,5,3,1,4
002240,고려제강,KOSPI,5,7,3,6
004430,송원산업,KOSPI,6,8,9,7
017810,풀무원,KOSPI,2,1,1,1
005180,빙그레,KOSPI,3,2,1,3
007810,코리아써키트,KOSPI,5,8,6,7
082740,HSD엔진,KOSPI,5,4,2,4
093050,LF,KOSPI,9,8,3,8
007690,국도화학,KOSPI,6,9,6,7
123890,한국자산신탁,KOSPI,9,7,9,8
001470,삼부토건,KOSPI,8,9,6,8
011930,신성이엔지,KOSPI,6,9,5,7
034830,한국토지신탁,KOSPI,9,8,9,9
306200,세아제강,KOSPI,5,6,4,5
007660,이수페타시스,KOSPI,6,5,9,6
007570,일양약품,KOSPI,9,8,3,8
005420,코스모화학,KOSPI,7,9,7,7
005950,이수화학,KOSPI,6,7,7,7
003580,넥스트사이언스,KOSPI,9,8,9,9
037560,LG헬로비전,KOSPI,9,4,1,6
145990,삼양사,KOSPI,3,5,4,5
002320,한진,KOSPI,4,6,1,4
001530,DI동일,KOSPI,9,8,6,8
030610,교보증권,KOSPI,9,7,3,7
286940,롯데정보통신,KOSPI,3,4,1,3
161000,애경케미칼,KOSPI,7,8,8,8
322000,현대에너지솔루션,KOSPI,3,3,3,4
003070,코오롱글로벌,KOSPI,8,8,3,7
004890,동일산업,KOSPI,6,9,5,7
071840,롯데하이마트,KOSPI,3,2,1,3
012630,HDC,KOSPI,6,6,2,6
002900,TYM,KOSPI,5,4,3,5
115390,락앤락,KOSPI,7,8,3,7
138490,코오롱플라스틱,KOSPI,6,7,3,6
053210,스카이라이프,KOSPI,7,4,1,5
006390,한일현대시멘트,KOSPI,5,7,3,6
084010,대한제강,KOSPI,6,8,7,7
068400,SK렌터카,KOSPI,5,3,3,4
058650,세아홀딩스,KOSPI,5,7,5,6
108670,LX하우시스,KOSPI,3,3,2,3
008490,서흥,KOSPI,8,7,3,7
018250,애경산업,KOSPI,4,2,3,4
281820,케이씨텍,KOSPI,7,8,7,7
002270,롯데푸드,KOSPI,5,4,1,4
092220,KEC,KOSPI,6,7,7,7
016800,퍼시스,KOSPI,7,7,7,7
226320,잇츠한불,KOSPI,5,8,4,6
130660,한전산업,KOSPI,7,6,5,7
071320,지역난방공사,KOSPI,4,3,1,3
033270,유나이티드제약,KOSPI,7,7,4,7
007460,에이프로젠 MED,KOSPI,9,9,9,9
016590,신대양제지,KOSPI,9,8,7,8
001510,SK증권,KOSPI,7,4,2,5
122900,아이마켓코리아,KOSPI,9,7,3,7
005500,삼진제약,KOSPI,9,7,5,8
015860,일진홀딩스,KOSPI,8,8,7,8
003220,대원제약,KOSPI,9,8,3,8
003300,한일홀딩스,KOSPI,5,7,3,6
000050,경방,KOSPI,7,9,6,8
077970,STX엔진,KOSPI,6,8,4,7
009290,광동제약,KOSPI,9,7,6,8
024720,한국콜마홀딩스,KOSPI,6,7,1,6
293480,하나제약,KOSPI,9,8,4,8
002960,한국쉘석유,KOSPI,9,7,4,7
000480,조선내화,KOSPI,7,7,8,7
107590,미원홀딩스,KOSPI,9,8,8,8
002150,도화엔지니어링,KOSPI,6,8,3,7
001500,현대차증권,KOSPI,6,3,1,4
055490,테이팩스,KOSPI,5,7,4,6
011700,한신기계,KOSPI,9,9,5,9
026890,디피씨,KOSPI,9,9,3,8
016580,환인제약,KOSPI,9,8,4,8
213500,한솔제지,KOSPI,4,4,2,4
001790,대한제당,KOSPI,7,9,4,7
271980,제일약품,KOSPI,9,8,8,8
004250,NPC,KOSPI,7,9,9,8
002990,금호건설,KOSPI,7,9,9,8
002020,코오롱,KOSPI,7,7,7,7
001630,종근당홀딩스,KOSPI,4,4,5,4
104700,한국철강,KOSPI,6,8,4,7
084690,대상홀딩스,KOSPI,4,3,6,4
298690,에어부산,KOSPI,8,7,9,8
001250,GS글로벌,KOSPI,6,6,1,5
002710,TCC스틸,KOSPI,7,9,8,8
214330,금호에이치티,KOSPI,8,9,8,8
000490,대동,KOSPI,7,8,5,7
081000,일진다이아,KOSPI,9,8,8,8
001780,알루코,KOSPI,7,9,8,8
037710,광주신세계,KOSPI,4,4,2,4
009680,모토닉,KOSPI,7,7,3,7
001520,동양,KOSPI,9,9,5,8
000020,동화약품,KOSPI,9,7,7,8
101060,SBS미디어홀딩스,KOSPI,9,7,7,8
095720,웅진씽크빅,KOSPI,6,5,4,6
005810,풍산홀딩스,KOSPI,9,5,4,7
009410,태영건설,KOSPI,3,6,3,5
001200,유진투자증권,KOSPI,9,8,3,8
020120,키다리스튜디오,KOSPI,9,7,8,8
006060,화승인더,KOSPI,6,6,2,6
103590,일진전기,KOSPI,7,8,7,8
004380,삼익THK,KOSPI,7,8,4,7
024090,디씨엠,KOSPI,9,9,5,8
036530,SNT홀딩스,KOSPI,7,8,5,7
029460,케이씨,KOSPI,6,8,4,7
005960,동부건설,KOSPI,9,9,6,9
105840,우진,KOSPI,9,8,5,8
092230,KPX홀딩스,KOSPI,7,9,6,7
084680,이월드,KOSPI,9,9,7,9
009580,무림P&P,KOSPI,5,5,2,5
002810,삼영무역,KOSPI,9,9,4,8
001570,금양,KOSPI,9,8,6,8
077500,유니퀘스트,KOSPI,7,9,4,7
028100,동아지질,KOSPI,9,9,7,9
006490,인스코비,KOSPI,9,8,7,8
068290,삼성출판사,KOSPI,9,9,6,9
002390,한독,KOSPI,5,5,3,5
035510,신세계 I&C,KOSPI,6,6,1,5
003570,SNT중공업,KOSPI,6,8,7,7
003060,에이프로젠제약,KOSPI,9,8,9,9
128820,대성산업,KOSPI,8,9,5,8
001130,대한제분,KOSPI,8,8,6,8
025000,KPX케미칼,KOSPI,7,9,9,8
079980,휴비스,KOSPI,5,4,2,4
012610,경인양행,KOSPI,9,8,7,8
000230,일동홀딩스,KOSPI,5,5,2,5
008040,사조동아원,KOSPI,8,7,4,7
044450,KSS해운,KOSPI,5,3,2,4
033180,KH 필룩스,KOSPI,7,8,9,8
039570,HDC아이콘트롤스,KOSPI,7,8,6,7
001270,부국증권,KOSPI,9,7,7,8
001940,KISCO홀딩스,KOSPI,6,8,8,7
200880,서연이화,KOSPI,5,5,1,5
031440,신세계푸드,KOSPI,5,4,1,4
002100,경농,KOSPI,7,8,8,7
011280,태림포장,KOSPI,7,9,9,8
001360,삼성제약,KOSPI,9,8,8,9
035150,백산,KOSPI,8,8,7,8
015360,예스코홀딩스,KOSPI,6,6,2,5
000540,흥국화재,KOSPI,7,4,2,5
000680,LS네트웍스,KOSPI,9,8,6,8
014280,금강공업,KOSPI,9,9,3,8
006880,신송홀딩스,KOSPI,9,9,7,8
004360,세방,KOSPI,6,9,3,7
002140,고려산업,KOSPI,9,9,7,8
234080,JW생명과학,KOSPI,7,7,7,7
101530,해태제과식품,KOSPI,9,6,5,7
001340,백광산업,KOSPI,6,8,7,7
011500,한농화성,KOSPI,9,8,8,8
002210,동성제약,KOSPI,9,9,6,9
007540,샘표,KOSPI,7,7,8,7
005720,넥센,KOSPI,5,5,7,5
033920,무학,KOSPI,9,8,5,8
004560,현대비앤지스틸,KOSPI,4,3,3,4
000970,한국주철관,KOSPI,8,9,9,8
036580,팜스코,KOSPI,5,5,2,5
000390,삼화페인트,KOSPI,5,6,2,5
003160,디아이,KOSPI,9,8,6,8
013360,일성건설,KOSPI,7,9,6,8
013570,디와이,KOSPI,7,9,4,7
074610,이엔플러스,KOSPI,9,7,7,8
000430,대원강업,KOSPI,7,9,5,7
017550,수산중공업,KOSPI,9,8,5,8
005010,휴스틸,KOSPI,7,8,8,8
083420,그린케미칼,KOSPI,6,9,7,7
014160,대영포장,KOSPI,8,9,9,8
094280,효성ITX,KOSPI,8,6,3,7
007860,서연,KOSPI,5,5,3,5
004970,신라교역,KOSPI,9,9,4,9
090350,노루페인트,KOSPI,4,3,3,4
092200,디아이씨,KOSPI,8,9,8,8
282690,동아타이어,KOSPI,9,9,6,8
002700,신일전자,KOSPI,9,9,5,9
006740,영풍제지,KOSPI,7,9,9,8
006220,제주은행,KOSPI,7,3,1,4
120030,조선선재,KOSPI,9,9,4,8
012030,DB,KOSPI,9,7,4,7
267850,아시아나IDT,KOSPI,7,8,9,8
015230,대창단조,KOSPI,6,9,3,7
015540,쎌마테라퓨틱스,KOSPI,9,8,9,9
002170,삼양통상,KOSPI,7,9,3,7
004080,신흥,KOSPI,9,8,8,8
014790,한라,KOSPI,5,4,4,5
033530,세종공업,KOSPI,7,8,8,7
000700,유수홀딩스,KOSPI,9,7,1,7
004960,한신공영,KOSPI,8,8,8,8
004090,한국석유,KOSPI,7,7,3,6
004310,현대약품,KOSPI,7,7,5,7
078520,에이블씨엔씨,KOSPI,8,6,6,7
000320,노루홀딩스,KOSPI,4,3,3,4
000180,성창기업지주,KOSPI,9,8,9,9
003650,미창석유,KOSPI,8,9,7,8
210540,디와이파워,KOSPI,7,9,5,8
000860,강남제비스코,KOSPI,6,7,6,7
017040,광명전기,KOSPI,7,9,8,8
100840,SNT에너지,KOSPI,7,8,8,7
010040,한국내화,KOSPI,7,7,8,7
017900,광전자,KOSPI,7,8,6,7
001750,한양증권,KOSPI,9,6,9,8
053690,한미글로벌,KOSPI,4,4,2,4
004140,동방,KOSPI,6,9,8,8
014530,극동유화,KOSPI,7,8,6,8
004540,깨끗한나라,KOSPI,6,8,8,7
002450,삼익악기,KOSPI,9,9,6,9
012800,대창,KOSPI,6,8,9,7
008260,NI스틸,KOSPI,9,9,9,9
267290,경동도시가스,KOSPI,6,5,3,5
005430,한국공항,KOSPI,9,8,6,8
001260,남광토건,KOSPI,9,9,8,9
019440,세아특수강,KOSPI,5,6,3,5
123690,한국화장품,KOSPI,9,7,8,8
093230,이아이디,KOSPI,9,9,9,9
006370,대구백화점,KOSPI,9,7,3,7
006380,카프로,KOSPI,7,8,4,7
012690,모나리자,KOSPI,7,9,8,8
012200,계양전기,KOSPI,7,7,5,7
067830,세이브존I&C,KOSPI,9,8,9,9
014580,태경비케이,KOSPI,8,8,8,8
011150,CJ씨푸드,KOSPI,8,6,3,6
009440,KC그린홀딩스,KOSPI,9,9,4,8
016880,웅진,KOSPI,9,6,6,7
009810,플레이그램,KOSPI,9,8,9,9
004060,SG세계물산,KOSPI,9,8,9,9
023800,인지컨트롤스,KOSPI,9,8,8,9
003560,IHQ,KOSPI,9,8,7,8
002360,SH에너지화학,KOSPI,7,9,4,8
020760,일진디스플,KOSPI,7,7,8,7
000300,대유플러스,KOSPI,9,9,9,9
006340,대원전선,KOSPI,7,9,7,8
007110,일신석재,KOSPI,9,8,8,9
004720,팜젠사이언스,KOSPI,9,8,9,9
000500,가온전선,KOSPI,6,7,4,6
025750,한솔홈데코,KOSPI,5,4,2,5
005740,크라운해태홀딩스,KOSPI,9,6,7,7
001290,상상인증권,KOSPI,9,7,9,9
003350,한국화장품제조,KOSPI,8,8,7,8
013870,지엠비코리아,KOSPI,9,9,8,9
005800,신영와코루,KOSPI,9,8,7,8
023000,삼원강재,KOSPI,7,9,6,8
002600,조흥,KOSPI,9,9,8,9
002760,보락,KOSPI,9,9,7,9
002220,한일철강,KOSPI,9,9,7,9
005870,휴니드,KOSPI,8,7,5,7
034300,신세계건설,KOSPI,7,5,2,5
024890,대원화성,KOSPI,6,7,5,7
027740,마니커,KOSPI,9,7,8,8
002720,국제약품,KOSPI,9,8,3,8
025820,이구산업,KOSPI,6,9,4,7
010600,웰바이오텍,KOSPI,9,8,8,8
004830,덕성,KOSPI,7,9,5,8
004440,삼일씨엔에스,KOSPI,7,8,6,7
011810,STX,KOSPI,9,7,5,8
009460,한창제지,KOSPI,7,9,7,8
002880,대유에이텍,KOSPI,7,8,8,8
091090,세원이앤씨,KOSPI,9,8,7,8
004410,서울식품,KOSPI,7,8,6,7
007590,동방아그로,KOSPI,9,9,5,8
031820,콤텍시스템,KOSPI,9,8,9,9
016090,대현,KOSPI,9,8,3,8
227840,현대코퍼레이션홀딩스,KOSPI,9,5,5,7
012170,아센디오,KOSPI,9,9,8,9
009180,한솔로지스틱스,KOSPI,6,6,2,6
008250,이건산업,KOSPI,9,9,5,8
016740,두올,KOSPI,7,8,4,7
002200,한국수출포장,KOSPI,6,8,5,7
000650,천일고속,KOSPI,9,9,5,8
006660,삼성공조,KOSPI,8,9,6,8
001140,국보,KOSPI,9,9,9,9
047400,유니온머티리얼,KOSPI,7,9,8,8
007980,태평양물산,KOSPI,8,7,7,7
009320,대우부품,KOSPI,9,8,7,8
155660,DSR,KOSPI,7,8,7,7
134790,시디즈,KOSPI,7,9,9,8
004840,DRB동일,KOSPI,6,5,5,6
101140,인바이오젠,KOSPI,9,9,9,9
002630,오리엔트바이오,KOSPI,9,8,9,9
003720,삼영화학,KOSPI,6,9,8,8
163560,동일고무벨트,KOSPI,6,6,6,6
006090,사조오양,KOSPI,9,7,9,8
000910,유니온,KOSPI,7,8,7,7
013700,까뮤이앤씨,KOSPI,9,8,5,8
013520,화승코퍼레이션,KOSPI,5,6,3,5
011330,유니켐,KOSPI,7,8,5,7
071090,하이스틸,KOSPI,7,8,5,7
058850,KTcs,KOSPI,5,4,1,4
133820,화인베스틸,KOSPI,7,9,8,8
011390,부산산업,KOSPI,9,9,7,9
129260,인터지스,KOSPI,7,9,4,7
000950,전방,KOSPI,8,8,8,8
023350,한국종합기술,KOSPI,6,8,4,7
058860,KTis,KOSPI,4,3,1,4
012320,경동인베스트,KOSPI,6,5,3,5
111110,호전실업,KOSPI,9,8,3,8
143210,핸즈코퍼레이션,KOSPI,7,8,4,7
011090,에넥스,KOSPI,7,8,8,7
021820,세원정공,KOSPI,9,8,9,8
004910,조광페인트,KOSPI,7,6,8,7
118000,우리들휴브레인,KOSPI,9,8,9,8
004450,삼화왕관,KOSPI,6,8,6,7
027970,세하,KOSPI,6,8,8,7
012160,영흥,KOSPI,7,8,6,7
025620,제이준코스메틱,KOSPI,9,9,7,8
010100,한국프랜지,KOSPI,7,7,7,7
006980,우성,KOSPI,9,8,6,8
090080,평화산업,KOSPI,6,9,5,7
023960,에쓰씨엔지니어링,KOSPI,8,9,9,8
002920,유성기업,KOSPI,6,9,8,8
001020,페이퍼코리아,KOSPI,6,8,9,7
008420,문배철강,KOSPI,9,9,7,9
026940,부국철강,KOSPI,9,9,6,9
005110,한창,KOSPI,9,8,8,8
069730,DSR제강,KOSPI,7,8,5,7
008870,금비,KOSPI,8,8,8,8
049800,우진플라임,KOSPI,7,9,8,8
015260,에이엔피,KOSPI,7,9,7,8
009770,삼정펄프,KOSPI,8,9,8,8
021050,서원,KOSPI,6,8,6,7
002690,동일제강,KOSPI,8,9,7,8
092780,동양피스톤,KOSPI,6,9,5,7
001380,SG글로벌,KOSPI,8,9,9,8
005360,모나미,KOSPI,9,9,6,8
006200,한국전자홀딩스,KOSPI,6,7,7,7
004870,티웨이홀딩스,KOSPI,9,9,7,9
002820,SUN&L,KOSPI,7,8,6,7
000040,KR모터스,KOSPI,9,8,8,9
006570,대림통상,KOSPI,7,9,9,8
014990,인디에프,KOSPI,9,8,8,8
010660,화천기계,KOSPI,9,8,9,9
019180,티에이치엔,KOSPI,8,8,5,7
015020,이스타코,KOSPI,9,9,8,9
001620,케이비아이동국실업,KOSPI,7,9,9,8
005820,원림,KOSPI,9,8,5,8
123700,SJM,KOSPI,8,8,6,7
004100,태양금속,KOSPI,6,9,7,7
010640,진양폴리,KOSPI,9,9,6,8
002070,비비안,KOSPI,9,9,9,9
024070,WISCOM,KOSPI,8,9,6,8
004920,씨아이테크,KOSPI,9,8,9,9
093240,형지엘리트,KOSPI,9,7,8,8
044380,주연테크,KOSPI,9,8,9,9
011420,갤럭시아에스엠,KOSPI,9,9,8,9
025530,SJM홀딩스,KOSPI,8,8,7,8
012600,센트럴인사이트,KOSPI,9,9,9,9
010400,우진아이엔에스,KOSPI,7,9,4,8
084670,동양고속,KOSPI,8,8,4,8
000760,이화산업,KOSPI,9,9,8,9
030720,동원수산,KOSPI,9,9,4,8
007120,미래아이앤지,KOSPI,9,8,9,9
018500,동원금속,KOSPI,9,9,4,8
003680,한성기업,KOSPI,9,8,8,8
009140,경인전자,KOSPI,9,9,7,9
001420,태원물산,KOSPI,8,9,8,8
001770,SHD,KOSPI,9,9,8,9
001210,금호전기,KOSPI,7,7,6,7
011230,삼화전자,KOSPI,9,8,8,8
025890,한국주강,KOSPI,9,9,9,9
010420,한솔PNS,KOSPI,5,6,3,5
071950,코아스,KOSPI,7,9,4,7
008500,일정실업,KOSPI,8,9,9,8
030790,비케이탑스,KOSPI,9,8,9,9
007630,폴루스바이오팜,KOSPI,7,9,9,8
036490,SK머티리얼즈,KOSDAQ,3,2,1,3
263750,펄어비스,KOSDAQ,9,8,7,8
247540,에코프로비엠,KOSDAQ,6,7,5,6
253450,스튜디오드래곤,KOSDAQ,9,6,3,7
278280,천보,KOSDAQ,9,8,6,8
035760,CJ ENM,KOSDAQ,7,3,2,5
058470,리노공업,KOSDAQ,9,8,7,8
112040,위메이드,KOSDAQ,9,8,5,8
096530,씨젠,KOSDAQ,9,9,9,9
086520,에코프로,KOSDAQ,6,6,3,6
035900,JYP Ent.,KOSDAQ,9,8,8,8
237690,에스티팜,KOSDAQ,5,5,3,5
005290,동진쎄미켐,KOSDAQ,4,7,8,6
108320,LX세미콘,KOSDAQ,6,6,3,6
041510,에스엠,KOSDAQ,9,8,7,8
240810,원익IPS,KOSDAQ,5,5,5,5
048260,오스템임플란트,KOSDAQ,8,7,8,8
064760,티씨케이,KOSDAQ,7,8,5,7
145020,휴젤,KOSDAQ,9,6,5,8
025900,동화기업,KOSDAQ,7,8,9,8
034230,파라다이스,KOSDAQ,9,7,5,8
141080,레고켐바이오,KOSDAQ,9,9,6,9
137400,피엔티,KOSDAQ,8,9,5,8
039030,이오테크닉스,KOSDAQ,9,9,6,9
098460,고영,KOSDAQ,6,5,4,5
003380,하림지주,KOSDAQ,5,6,2,6
215200,메가스터디교육,KOSDAQ,9,8,7,8
078340,컴투스,KOSDAQ,9,8,3,8
067160,아프리카TV,KOSDAQ,9,8,5,8
041140,넥슨지티,KOSDAQ,9,7,9,8
144510,지씨셀,KOSDAQ,9,9,8,9
030190,NICE평가정보,KOSDAQ,7,5,8,6
053800,안랩,KOSDAQ,6,6,2,5
086450,동국제약,KOSDAQ,9,8,8,8
048410,현대바이오,KOSDAQ,9,8,9,9
039200,오스코텍,KOSDAQ,9,9,8,9
036540,SFA반도체,KOSDAQ,5,7,9,6
122870,와이지엔터테인먼트,KOSDAQ,9,8,7,8
085660,차바이오텍,KOSDAQ,9,9,9,9
200130,콜마비앤에이치,KOSDAQ,9,8,4,8
095700,제넥신,KOSDAQ,9,8,8,8
000250,삼천당제약,KOSDAQ,9,8,8,8
084850,아이티엠반도체,KOSDAQ,5,5,3,5
214450,파마리서치,KOSDAQ,9,7,4,8
272290,이녹스첨단소재,KOSDAQ,6,9,5,7
069080,웹젠,KOSDAQ,9,7,4,8
046890,서울반도체,KOSDAQ,7,6,4,6
151860,KG ETS,KOSDAQ,5,9,8,7
182400,엔케이맥스,KOSDAQ,9,8,9,9
025980,아난티,KOSDAQ,9,8,9,9
218410,RFHIC,KOSDAQ,9,9,8,9
290510,코리아센터,KOSDAQ,9,8,3,8
178320,서진시스템,KOSDAQ,8,9,8,8
033290,코웰패션,KOSDAQ,8,9,7,8
060250,NHN한국사이버결제,KOSDAQ,9,8,7,8
091700,파트론,KOSDAQ,9,7,5,8
051500,CJ프레시웨이,KOSDAQ,6,4,1,5
235980,메드팩토,KOSDAQ,9,9,4,8
038540,상상인,KOSDAQ,9,9,9,9
